chrom	chromStart	chromEnd	name	pHaplo
chr1	114935398	115053781	TRIM33	0.98
chr1	115259533	115301297	CSDE1	0.98
chr1	116915289	116952883	ATP1A1	0.97
chr1	120454175	120612240	NOTCH2	0.95
chr1	149895208	149900236	SF3B4	0.87
chr1	150335566	150449042	RPRD2	0.87
chr1	151375199	151431941	POGZ	0.98
chr1	153777200	153895451	GATAD2B	0.93
chr1	154192654	154243986	UBAP2L	0.97
chr1	154669930	154842756	KCNN3	0.88
chr1	155305058	155532598	ASH1L	0.99
chr1	156041803	156051789	MEX3A	0.88
chr1	156904631	157015162	ARHGEF11	0.91
chr1	157963062	158070052	KIRREL	0.95
chr1	160185504	160254920	DCAF8	0.96
chr1	160259062	160313190	COPA	0.91
chr1	164524820	164868533	PBX1	1.0
chr1	165171103	165325952	LMX1A	0.86
chr1	166808680	166825581	POGK	0.86
chr1	167190065	167396582	POU2F1	0.93
chr1	169074934	169101960	ATP1B1	0.91
chr1	171454650	171562650	PRRC2C	0.99
chr1	172501488	172580971	SUCO	0.9
chr1	173837219	173872687	ZBTB37	0.93
chr1	173900351	173991435	RC3H1	0.98
chr1	175913966	176176629	RFWD2	0.88
chr1	176826437	177134109	ASTN1	0.91
chr1	177140632	177251558	BRINP2	0.91
chr1	178062863	178448644	RASAL2	0.96
chr1	179923872	180084015	CEP350	0.97
chr1	181382237	181777219	CACNA1E	0.99
chr1	182808503	182856886	DHX9	0.99
chr1	182992594	183114727	LAMC1	0.98
chr1	183441350	183567381	SMG7	0.98
chr1	183592400	183604892	ARPC5	0.89
chr1	183605219	183897665	RGL1	0.91
chr1	185087219	185126204	TRMT1L	0.86
chr1	185126211	185260897	SWT1	0.88
chr1	185265519	185286461	IVNS1ABP	0.95
chr1	186280783	186344825	TPR	0.99
chr1	193091146	193223031	CDC73	0.98
chr1	197881036	197904608	LHX9	0.97
chr1	199996729	200146552	NR5A2	0.94
chr1	200708685	200829832	CAMSAP2	0.96
chr1	201592410	201796102	NAV1	0.99
chr1	201798268	201853422	IPO9	0.96
chr1	201865579	201915715	LMOD1	0.88
chr1	201977072	201986316	ELF3	0.9
chr1	202559723	202679545	SYT2	0.92
chr1	203764781	203823252	ZC3H11A	0.97
chr1	204042242	204096863	SOX13	0.96
chr1	204391755	204463852	PIK3C2B	0.93
chr1	204797778	204991950	NFASC	0.93
chr1	205055269	205091143	RBBP5	0.95
chr1	205681946	205719404	NUCKS1	0.97
chr1	206516199	206637783	SRGAP2	0.87
chr1	208195586	208417665	PLXNA2	0.91
chr1	209959035	209979465	IRF6	1.0
chr1	210856554	211307457	KCNH1	0.95
chr1	211431718	211489727	RCOR3	0.98
chr1	212113740	212208884	INTS7	0.88
chr1	212458878	212535200	PPP2R5A	0.93
chr1	214156523	214214595	PROX1	1.0
chr1	214522038	214725792	PTPN14	0.99
chr1	215740734	215795149	KCTD3	0.89
chr1	218519576	218617961	TGFB2	0.99
chr1	219858768	220131989	SLC30A10	0.87
chr1	220141942	220220000	EPRS	0.89
chr1	220321634	220445796	RAB3GAP2	0.96
chr1	220701567	220837803	MARK1	0.94
chr1	221051698	221058401	HLX	0.91
chr1	221874765	221915518	DUSP10	0.86
chr1	222791427	222841354	MIA3	0.94
chr1	223967600	224033674	TP53BP2	0.88
chr1	224301788	224349749	FBXO28	0.95
chr1	224415035	224518089	NVL	0.88
chr1	224572844	224624735	WDR26	1.0
chr1	225589203	225616627	LBR	0.87
chr1	225674536	225840844	ENAH	0.98
chr1	226249551	226259702	H3F3A	0.94
chr1	226418849	226497570	LIN9	0.94
chr1	226819390	226927024	ITPKB	0.89
chr1	227177565	227506175	CDC42BPA	0.93
chr1	228194751	228248961	WNT3A	0.98
chr1	229728857	229761794	TAF5L	0.99
chr1	231041988	231114621	TTC13	0.88
chr1	231114726	231136341	ARV1	0.87
chr1	231297857	231357302	TRIM67	0.99
chr1	231472849	231490769	SPRTN	0.99
chr1	231499496	231560790	EGLN1	0.97
chr1	232533710	232697304	SIPA1L2	0.96
chr1	235294948	235491534	ARID4B	1.0
chr1	235490664	235507847	GGPS1	0.94
chr1	235824340	236046940	LYST	0.94
chr1	236712304	236767804	HEATR1	0.98
chr1	236849753	236927931	ACTN2	0.95
chr1	236958609	237067281	MTR	0.88
chr1	237205504	237997288	RYR2	0.98
chr1	240177647	240638489	FMN2	0.97
chr1	241660902	241683061	FH	0.93
chr1	243287729	243418650	CEP170	0.99
chr1	243419319	243663394	SDCCAG8	0.96
chr1	243651534	244014381	AKT3	0.99
chr1	244214584	244220778	ZBTB18	1.0
chr1	244571795	244615436	ADSS	0.95
chr1	244816236	244872335	DESI2	0.97
chr1	244998623	245008359	COX20	0.9
chr1	245014467	245027844	HNRNPU	1.0
chr1	245318286	245872733	KIF26B	0.99
chr1	246729745	246831886	CNST	0.87
chr1	247002399	247095280	AHCTF1	0.97
chr1	247460713	247495148	ZNF496	0.91
chr1	249144204	249153343	ZNF692	0.9
chr2	38813	46870	FAM110C	0.88
chr2	264139	278283	ACP1	0.88
chr2	279557	288851	FAM150B	0.91
chr2	946553	1371385	SNTG2	0.95
chr2	1635658	1748624	PXDN	0.96
chr2	1792884	2335032	MYT1L	1.0
chr2	3192695	3381653	TSSC1	0.93
chr2	3383445	3488865	TRAPPC12	0.94
chr2	3592382	3606206	RNASEH1	0.93
chr2	3622794	3628509	RPS7	0.99
chr2	3642425	3692048	COLEC11	0.94
chr2	5832798	5841516	SOX11	0.98
chr2	7057522	7208417	RNF144A	0.97
chr2	8818974	8824583	ID2	0.93
chr2	8865407	8977760	KIDINS220	0.92
chr2	8992819	9143942	MBOAT2	0.93
chr2	9346893	9545812	ASAP2	0.99
chr2	9543603	9563676	ITGB1BP1	0.87
chr2	9563696	9613230	CPSF3	0.96
chr2	9628614	9695921	ADAM17	0.99
chr2	9724100	9771143	YWHAQ	0.95
chr2	10085340	10142411	GRHL1	0.9
chr2	10262454	10271545	RRM2	0.97
chr2	10710891	10830101	NOL10	0.93
chr2	10861774	10925236	ATP6V1C2	0.89
chr2	10923516	10978103	PDIA6	0.91
chr2	11052062	11054350	KCNF1	0.88
chr2	11319886	11488456	ROCK2	1.0
chr2	11674241	11782914	GREB1	0.94
chr2	12857014	12882860	TRIB2	0.99
chr2	14772809	14790933	FAM84A	0.9
chr2	14775214	14790933	AC011897.1	0.88
chr2	15731301	15771235	DDX1	0.99
chr2	16080685	16087129	MYCN	0.98
chr2	17720392	17838285	VSNL1	0.93
chr2	17845078	17981509	SMC6	0.96
chr2	17935124	17966632	GEN1	0.88
chr2	19551245	19558414	OSR1	0.98
chr2	20400557	20425194	SDC1	0.87
chr2	20448451	20551995	PUM2	0.99
chr2	20866423	20873418	GDF7	0.99
chr2	23608087	23931481	KLHL29	0.97
chr2	23971533	24149984	ATAD2B	0.99
chr2	24425732	24583583	ITSN2	0.87
chr2	24714782	24993571	NCOA1	0.99
chr2	25956621	26101385	ASXL2	0.97
chr2	26256975	26360323	RAB10	0.93
chr2	26915618	26956288	KCNK3	0.92
chr2	27070614	27173219	DPYSL5	0.95
chr2	27440257	27466811	CAD	0.98
chr2	27548715	27579868	GTF3C2	0.97
chr2	27604060	27632554	PPM1G	0.91
chr2	27650656	27665126	NRBP1	0.89
chr2	28615314	28640179	FOSL2	0.96
chr2	28974505	29025806	PPP1CB	0.99
chr2	29117508	29171088	WDR43	0.97
chr2	30369806	30383399	YPEL5	0.88
chr2	32090128	32236299	MEMO1	0.94
chr2	32288679	32382706	SPAST	0.98
chr2	32582095	32843966	BIRC6	1.0
chr2	33661390	33789817	RASGRP3	0.86
chr2	36583068	36778278	CRIM1	0.98
chr2	37070782	37193615	STRN	0.95
chr2	38789119	38830728	HNRNPLL	0.95
chr2	38970740	38978636	SRSF7	0.97
chr2	39208536	39351486	SOS1	0.99
chr2	39476406	39664453	MAP4K3	0.91
chr2	40324409	40838193	SLC8A1	0.9
chr2	45168901	45173216	SIX3	0.98
chr2	45232299	45236569	SIX2	0.99
chr2	45878483	46415129	PRKCE	0.99
chr2	46520805	46613836	EPAS1	0.94
chr2	47387220	47403740	CALM2	0.9
chr2	48016454	48132932	FBXO11	1.0
chr2	50145642	51259674	NRXN1	0.89
chr2	54091203	54197977	PSME4	1.0
chr2	54683421	54896812	SPTBN1	1.0
chr2	55459038	55462989	RPS27A	0.86
chr2	55514977	55647057	CCDC88A	0.98
chr2	55774427	55846015	SMEK2	0.91
chr2	60678301	60780702	BCL11A	1.0
chr2	61108655	61158745	REL	0.95
chr2	61414597	61697904	USP34	1.0
chr2	61704983	61765761	XPO1	1.0
chr2	62095223	62115939	CCT4	0.95
chr2	62900985	63273622	EHBP1	0.94
chr2	63815742	63834331	MDH1	0.88
chr2	64119279	64246206	VPS54	0.91
chr2	64751464	64820139	AFTPH	0.88
chr2	65454886	65498387	ACTR2	0.96
chr2	66660583	66801001	MEIS1	1.0
chr2	69240309	69476459	ANTXR1	0.95
chr2	69546904	69614382	GFPT1	0.92
chr2	72356366	72375167	CYP26B1	0.92
chr2	73143388	73162020	EMX1	0.96
chr2	73460547	73480149	CCT7	0.92
chr2	85766287	85772403	MAT2A	0.96
chr2	86247338	86333278	POLR1A	0.97
chr2	86667769	86719839	KDM3A	0.97
chr2	96940073	96971297	SNRNP200	0.96
chr2	98372798	98612388	TMEM131	0.88
chr2	99953815	100017789	EIF5B	0.94
chr2	100016937	100106497	REV1	0.95
chr2	101436613	101613291	NPAS2	0.86
chr2	102313311	102511149	MAP4K4	0.97
chr2	109335936	109402267	RANBP2	0.94
chr2	113973573	114036527	PAX8	0.94
chr2	119599746	119605254	EN1	0.89
chr2	121103718	121109384	INHBB	0.91
chr2	121493198	121750229	GLI2	0.93
chr2	122095351	122407163	CLASP1	0.97
chr2	128193782	128284462	IWS1	0.93
chr2	128458595	128568761	WDR33	0.93
chr2	128698790	128785694	SAP130	0.89
chr2	134877553	135212192	MGAT5	0.93
chr2	135675804	135716912	CCNT2	0.93
chr2	136597195	136633996	MCM6	0.92
chr2	140988991	142889270	LRP1B	0.92
chr2	145141647	145282147	ZEB2	1.0
chr2	148602085	148688393	ACVR2A	0.87
chr2	148778579	149275805	MBD5	0.9
chr2	149402008	149545130	EPC2	0.94
chr2	149632818	149883273	KIF5C	0.88
chr2	151324708	151395525	RND3	0.92
chr2	152266396	152364527	RIF1	0.97
chr2	153191750	153506348	FMNL2	0.95
chr2	153508106	153574511	PRPF40A	0.92
chr2	155554810	155714863	KCNJ3	0.87
chr2	157180943	157198860	NR4A2	0.98
chr2	158592957	158732374	ACVR1	0.88
chr2	159313475	159539391	PKP4	0.86
chr2	159825145	160089170	TANC1	0.89
chr2	160175489	160473203	BAZ2B	0.94
chr2	160568999	160627538	MARCH7	0.91
chr2	162272604	162282381	TBR1	0.99
chr2	163227916	163695240	KCNH7	0.86
chr2	164449905	164592522	FIGN	0.97
chr2	165944031	166060577	SCN3A	0.89
chr2	166095911	166248818	SCN2A	0.96
chr2	166845669	166984523	SCN1A	0.95
chr2	168810529	169104651	STK39	0.89
chr2	169983618	170219195	LRP2	0.96
chr2	170683967	170940641	UBR3	0.91
chr2	171847332	172087824	TLK1	0.98
chr2	172949467	172954405	DLX1	0.91
chr2	173292081	173371181	ITGA6	0.86
chr2	173600001	173917621	RAPGEF4	0.93
chr2	174771186	174830430	SP3	0.98
chr2	175424299	175547644	WIPF1	0.89
chr2	175936977	176033110	ATF2	0.88
chr2	176942199	176948641	EVX2	0.95
chr2	176957618	176960666	HOXD13	0.92
chr2	176968943	176974722	HOXD11	0.87
chr2	176973517	176984670	HOXD10	0.96
chr2	176987087	176989853	HOXD9	0.93
chr2	176994421	176997423	HOXD8	0.87
chr2	177001339	177037830	HOXD3	0.98
chr2	177015949	177017954	HOXD4	0.91
chr2	178077290	178088686	HNRNPA3	0.99
chr2	178257371	178408564	AGPS	0.9
chr2	179059207	179264160	OSBPL6	0.88
chr2	179966418	180129517	SESTD1	0.89
chr2	182537814	182545603	NEUROD1	0.92
chr2	183773842	183903586	NCKAP1	1.0
chr2	187350882	187374090	ZC3H15	0.86
chr2	189839045	189877472	COL3A1	0.96
chr2	189896621	190044605	COL5A2	0.95
chr2	190425304	190448484	SLC40A1	0.96
chr2	191745552	191830278	GLS	0.95
chr2	191829083	191885686	STAT1	0.97
chr2	192109910	192290115	MYO1B	0.92
chr2	196440700	196602426	SLC39A10	0.94
chr2	197059093	197458416	HECW2	0.99
chr2	198254507	198299815	SF3B1	1.0
chr2	198351304	198381461	HSPD1	0.97
chr2	200134222	200335989	SATB2	1.0
chr2	201170603	201346986	SPATS2L	0.9
chr2	201675316	201688569	BZW1	0.96
chr2	201773695	201828403	ORC2	0.93
chr2	201980826	202041410	CFLAR	0.86
chr2	203070902	203103331	SUMO1	0.9
chr2	203241658	203432474	BMPR2	0.97
chr2	204192941	204312446	ABI2	0.89
chr2	204259067	204400133	RAPH1	0.99
chr2	206546713	206662857	NRP2	0.95
chr2	206858444	206951027	INO80D	0.98
chr2	207938860	208031991	KLF7	0.96
chr2	208394460	208468155	CREB1	0.96
chr2	208627309	208634287	FZD5	0.96
chr2	210886146	211036107	KANSL1L	0.94
chr2	212240445	213403565	ERBB4	0.97
chr2	213864428	214017151	IKZF2	0.99
chr2	215590369	215674428	BARD1	0.87
chr2	216225162	216300895	FN1	0.9
chr2	216972186	217071026	XRCC5	1.0
chr2	217497550	217529159	IGFBP2	0.96
chr2	217536827	217560248	IGFBP5	0.98
chr2	219081816	219119079	ARPC2	0.98
chr2	219314973	219433084	USP37	0.98
chr2	219433302	219461803	RQCD1	0.96
chr2	219724543	219738955	WNT6	0.9
chr2	219854910	219858143	CRYBA2	0.86
chr2	219919141	219925189	IHH	0.94
chr2	220074493	220094439	ATG9A	0.87
chr2	220299567	220363009	SPEG	0.94
chr2	222282746	222438922	EPHA4	0.99
chr2	223064606	223163715	PAX3	0.97
chr2	223435254	223521056	FARSB	0.92
chr2	224839828	224904036	SERPINE2	0.94
chr2	225334866	225450110	CUL3	0.99
chr2	225629806	225907162	DOCK10	0.95
chr2	228029280	228179508	COL4A3	0.9
chr2	228189866	228222550	MFF	0.9
chr2	230628553	230787955	TRIP12	1.0
chr2	231921577	232037541	PSMD1	0.98
chr2	232318241	232348352	NCL	0.99
chr2	232646380	232673963	COPS7B	0.9
chr2	232825954	233209060	DIS3L2	0.93
chr2	233344536	233352538	ECEL1	0.91
chr2	233414761	233448354	EIF4E2	0.94
chr2	233562008	233725285	GIGYF2	0.99
chr2	233743395	233877982	NGEF	0.94
chr2	233924676	234116549	INPP5D	0.95
chr2	234118696	234204320	ATG16L1	0.94
chr2	235401684	235405697	ARL4C	0.86
chr2	235860616	235964358	SH3BP4	0.94
chr2	236402732	237040444	AGAP1	1.0
chr2	236682498	236692031	AC064874.1	0.87
chr2	237073878	237077012	GBX2	0.98
chr2	238232645	238323018	COL6A3	0.94
chr2	238394070	238463961	MLPH	0.94
chr2	238536218	238722325	LRRFIP1	0.89
chr2	238875468	238951236	UBE2F	0.94
chr2	238969529	239008054	SCLY	0.91
chr2	239079041	239112370	ILKAP	0.98
chr2	239152678	239198743	PER2	0.96
chr2	239756672	239795893	TWIST2	0.87
chr2	239969863	240323348	HDAC4	1.0
chr2	241653180	241759725	KIF1A	0.99
chr2	241807895	241819919	AGXT	0.86
chr2	241938254	242034983	SNED1	0.99
chr2	242011583	242041747	MTERFD2	0.87
chr2	242045513	242089679	PASK	0.89
chr2	242088990	242123067	PPP1R7	0.92
chr2	242166678	242256476	HDLBP	0.99
chr2	242254514	242293442	SEPT2	0.89
chr2	242498135	242513546	BOK	0.87
chr2	242523819	242576864	THAP4	0.88
chr2	242576627	242613272	ATG4B	0.95
chr2	242792032	242801060	PDCD1	0.94
chr3	3190675	3221394	CRBN	0.9
chr3	3742497	4508965	SUMF1	0.91
chr3	4535031	4889524	ITPR1	1.0
chr3	5020800	5027008	BHLHE40	1.0
chr3	5229330	5261642	EDEM1	0.96
chr3	6811687	7783215	GRM7	0.9
chr3	8543392	8609805	LMCD1	0.96
chr3	8775485	8883492	CAV3	0.86
chr3	8817087	9005457	RAD18	0.87
chr3	9022274	9404737	SRGAP3	0.99
chr3	9439298	9520924	SETD5	1.0
chr3	9773412	9789702	BRPF1	0.99
chr3	9834178	9849410	ARPC4	0.96
chr3	10365706	10749716	ATP2B2	0.99
chr3	11034409	11080933	SLC6A1	0.97
chr3	12328866	12475855	PPARG	0.96
chr3	12625099	12705725	RAF1	0.98
chr3	12875983	12883087	RPL32	0.97
chr3	12938718	13114617	IQSEC1	0.94
chr3	14444075	14530857	SLC6A6	0.92
chr3	14860468	14975895	FGD5	0.99
chr3	14989090	15095107	NR2C2	0.99
chr3	15708742	15901278	ANKRD28	0.99
chr3	16844158	17132086	PLCL2	0.99
chr3	18386878	18487080	SATB1	1.0
chr3	19988570	20026667	RAB5A	0.92
chr3	20081514	20195896	KAT2B	0.98
chr3	23244510	23633284	UBE2E2	0.95
chr3	23847393	23932807	UBE2E1	0.93
chr3	23958035	23965183	RPL15	0.98
chr3	24158650	24536773	THRB	0.98
chr3	25215822	25639423	RARB	1.0
chr3	25639474	25706398	TOP2B	0.99
chr3	27414213	27525911	SLC4A7	0.97
chr3	27757439	27764206	EOMES	0.98
chr3	29322472	30051886	RBMS3	0.89
chr3	31574129	31679112	STT3B	0.99
chr3	32726636	32815367	CNOT10	0.93
chr3	32859509	32939318	TRIM71	0.99
chr3	33429827	33482863	UBP1	0.99
chr3	33537736	33759848	CLASP2	0.95
chr3	33839843	33911194	PDCD6IP	0.92
chr3	38206579	38296979	OXSR1	0.92
chr3	38589547	38691164	SCN5A	0.98
chr3	39093488	39138155	WDR48	0.93
chr3	39448179	39454033	RPSA	0.97
chr3	41236327	41301587	CTNNB1	1.0
chr3	42642105	42690227	NKTR	0.97
chr3	43328003	43466256	SNRK	0.9
chr3	46919235	46945287	PTH1R	0.94
chr3	47057918	47205457	SETD2	0.99
chr3	47626761	47823596	SMARCC1	0.98
chr3	47844398	47891685	DHX30	0.97
chr3	47892181	48130769	MAP4	0.89
chr3	49067139	49131796	QRICH1	0.89
chr3	50192477	50226508	SEMA3F	0.92
chr3	50712671	51421629	DOCK3	0.96
chr3	51433297	51534010	VPRBP	0.94
chr3	51575159	51702683	RAD54L2	0.96
chr3	52579367	52719933	PBRM1	0.98
chr3	52937587	53080766	SFMBT1	0.87
chr3	53528682	53847760	CACNA1D	0.99
chr3	54156573	55108584	CACNA2D3	0.86
chr3	55499742	55523973	WNT5A	0.98
chr3	55542335	56502391	ERC2	0.97
chr3	56654160	56717265	FAM208A	0.97
chr3	57557089	57583947	ARF4	0.86
chr3	57741176	57914895	SLMAP	0.95
chr3	61547242	62283288	PTPRG	0.94
chr3	62355355	62359999	FEZF2	0.97
chr3	63850232	63989138	ATXN7	0.94
chr3	63996224	64009658	PSMD6	0.9
chr3	64079542	64431152	PRICKLE2	0.93
chr3	65339199	66024509	MAGI1	0.96
chr3	69788585	70017488	MITF	0.97
chr3	71003843	71633140	FOXP1	0.98
chr3	73045935	73118350	PPP4R2	0.91
chr3	73431583	73674091	PDZRN3	0.95
chr3	101546834	101579866	NFKBIZ	0.93
chr3	105374304	105588396	CBLB	0.96
chr3	113367231	113415493	KIAA2018	0.86
chr3	114056940	114866118	ZBTB20	0.99
chr3	115521234	117716095	LSAMP	0.88
chr3	119013219	119139561	ARHGAP31	0.95
chr3	119540169	119813264	GSK3B	0.9
chr3	123001142	123168605	ADCY5	0.96
chr3	123798869	124445172	KALRN	0.99
chr3	124944404	125094198	ZNF148	0.93
chr3	127770483	127790526	SEC61A1	0.91
chr3	127783620	127872757	RUVBL1	0.94
chr3	128198269	128212028	GATA2	0.98
chr3	129274017	129325661	PLXND1	0.95
chr3	130569438	130735556	ATP2C1	0.93
chr3	132136369	132257876	DNAJC13	0.98
chr3	133292573	133309105	CDV3	0.89
chr3	133317018	133380737	TOPBP1	0.95
chr3	133784146	133969689	RYK	0.9
chr3	134316642	134979309	EPHB1	0.91
chr3	135684514	135866733	PPP2R3A	0.91
chr3	135867763	135916083	MSL2	0.89
chr3	136055076	136471220	STAG1	1.0
chr3	137483578	137484396	SOX14	0.96
chr3	137906108	138017231	ARMC8	0.94
chr3	138372859	138553780	PIK3CB	0.93
chr3	139074441	139108574	COPB2	0.98
chr3	141043054	141168634	ZBTB38	0.92
chr3	142025448	142166904	XRN1	0.92
chr3	142683338	142779567	U2SURP	0.99
chr3	147103832	147124647	ZIC4	0.9
chr3	147111208	147228080	ZIC1	0.95
chr3	149235021	149454501	WWTR1	0.93
chr3	150803483	151154860	MED12L	0.99
chr3	151961616	152183569	MBNL1	0.86
chr3	153990334	154042286	DHX36	0.94
chr3	155093368	155462856	PLCH1	0.86
chr3	155588324	155661815	GMPS	0.94
chr3	156257928	156272973	SSR3	0.88
chr3	156391023	156424559	TIPARP	0.95
chr3	156864296	156878549	CCNL1	0.99
chr3	157814947	157824292	SHOX2	0.91
chr3	160212782	160283376	KPNA4	0.97
chr3	164904507	164914897	SLITRK3	0.9
chr3	167401085	167452727	PDCD10	0.96
